,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle,num_workers
0,1,1,0.9405260264873505,0.6417,6.502309799194336,7.4260125160217285,0.01,1000,True,0
1,1,2,0.5000901743769646,0.8100666666666667,6.5088417530059814,14.005515336990356,0.01,1000,True,0
2,1,3,0.42092115531365076,0.8451166666666666,6.601824760437012,20.68279528617859,0.01,1000,True,0
3,1,4,0.3667345826824506,0.8662166666666666,6.518352508544922,27.2776620388031,0.01,1000,True,0
4,1,5,0.3322410861651103,0.8781666666666667,6.553284645080566,33.908459424972534,0.01,1000,True,0
5,2,1,0.9846611638863881,0.6272166666666666,5.201653480529785,5.903015851974487,0.01,1000,True,1
6,2,2,0.5396879320343335,0.7915666666666666,5.048492908477783,11.04193115234375,0.01,1000,True,1
7,2,3,0.4513002038002014,0.83345,5.29931378364563,16.429780960083008,0.01,1000,True,1
8,2,4,0.39759159088134766,0.85435,4.94222617149353,21.465254545211792,0.01,1000,True,1
9,2,5,0.3665553708871206,0.8653,4.98377251625061,26.53959345817566,0.01,1000,True,1
10,3,1,1.0750212291876475,0.5871166666666666,2.8040947914123535,3.4467365741729736,0.01,1000,True,2
11,3,2,0.5665327340364457,0.7827333333333333,2.869910478591919,6.400343894958496,0.01,1000,True,2
12,3,3,0.46797445019086203,0.8297666666666667,2.826636791229248,9.311386108398438,0.01,1000,True,2
13,3,4,0.4104244371255239,0.8515833333333334,2.7562453746795654,12.157013893127441,0.01,1000,True,2
14,3,5,0.3823502818743388,0.8602833333333333,2.7117621898651123,14.949284791946411,0.01,1000,True,2
15,4,1,1.0012741327285766,0.6079666666666667,2.7725915908813477,3.4726362228393555,0.01,1000,True,4
16,4,2,0.5512206281224886,0.78695,2.8578579425811768,6.416326522827148,0.01,1000,True,4
17,4,3,0.4437829221288363,0.8349833333333333,2.7795190811157227,9.287465810775757,0.01,1000,True,4
18,4,4,0.40360337297121684,0.8520833333333333,2.785301446914673,12.159990787506104,0.01,1000,True,4
19,4,5,0.3679557700951894,0.86535,2.843003749847412,15.090027570724487,0.01,1000,True,4
20,5,1,0.9544320156176885,0.6421333333333333,2.825352191925049,3.6192264556884766,0.01,1000,True,8
21,5,2,0.5030725027124087,0.8086666666666666,2.9429473876953125,6.6476311683654785,0.01,1000,True,8
22,5,3,0.4229569305976232,0.8447333333333333,2.813781499862671,9.54622197151184,0.01,1000,True,8
23,5,4,0.37571481664975487,0.8624666666666667,2.886589527130127,12.525549173355103,0.01,1000,True,8
24,5,5,0.3364861235022545,0.8766666666666667,2.8659801483154297,15.471373319625854,0.01,1000,True,8
25,6,1,0.967181604107221,0.6365666666666666,2.812187910079956,3.8309879302978516,0.01,1000,True,16
26,6,2,0.5256859014431635,0.7935333333333333,2.79940128326416,6.721614360809326,0.01,1000,True,16
27,6,3,0.44026300857464473,0.8352333333333334,2.905392646789551,9.7116858959198,0.01,1000,True,16
28,6,4,0.3748835136493047,0.8606833333333334,2.8714072704315186,12.655378580093384,0.01,1000,True,16
29,6,5,0.3432701274752617,0.8716833333333334,2.854548692703247,15.605559825897217,0.01,1000,True,16
30,7,1,0.9412288635969162,0.6359833333333333,6.805440902709961,7.291664361953735,0.01,1000,False,0
31,7,2,0.5126188367605209,0.8043666666666667,6.6540772914886475,14.02860975265503,0.01,1000,False,0
32,7,3,0.424546779692173,0.8452166666666666,6.650057554244995,20.762883186340332,0.01,1000,False,0
33,7,4,0.3810027649005254,0.8601666666666666,6.587566375732422,27.43565011024475,0.01,1000,False,0
34,7,5,0.3461798260609309,0.8715166666666667,6.53702187538147,34.056047677993774,0.01,1000,False,0
35,8,1,1.006444983681043,0.6252666666666666,5.088233470916748,5.737128019332886,0.01,1000,False,1
36,8,2,0.5121089627345403,0.8038666666666666,5.18222975730896,11.0103018283844,0.01,1000,False,1
37,8,3,0.4211096992095312,0.84435,4.913648843765259,16.019418954849243,0.01,1000,False,1
38,8,4,0.37398850520451865,0.8623666666666666,4.9223856925964355,21.03665018081665,0.01,1000,False,1
39,8,5,0.3408691942691803,0.8755166666666667,5.122804641723633,26.259392738342285,0.01,1000,False,1
40,9,1,1.056852188706398,0.5915166666666667,3.4352664947509766,4.1155476570129395,0.01,1000,False,2
41,9,2,0.5826011637846629,0.7761333333333333,3.2055981159210205,7.413686275482178,0.01,1000,False,2
42,9,3,0.49410050412019096,0.8149833333333333,3.1724939346313477,10.680573463439941,0.01,1000,False,2
43,9,4,0.4391109084089597,0.8403833333333334,3.1767637729644775,13.945249795913696,0.01,1000,False,2
44,9,5,0.40113603671391806,0.8537333333333333,3.0159528255462646,17.055769443511963,0.01,1000,False,2
45,10,1,0.9922585119803746,0.61645,2.7977724075317383,3.4557855129241943,0.01,1000,False,4
46,10,2,0.5225859428445498,0.7940333333333334,2.872441053390503,6.412274360656738,0.01,1000,False,4
47,10,3,0.4299395322799683,0.8410666666666666,2.8659794330596924,9.366271018981934,0.01,1000,False,4
48,10,4,0.3772250284751256,0.8607,2.798882246017456,12.258920192718506,0.01,1000,False,4
49,10,5,0.34327926288048427,0.8733166666666666,2.833503246307373,15.175018072128296,0.01,1000,False,4
50,11,1,0.9412965059280396,0.6406333333333334,2.7732346057891846,3.576369047164917,0.01,1000,False,8
51,11,2,0.4908091718951861,0.8149166666666666,2.8475184440612793,6.5161168575286865,0.01,1000,False,8
52,11,3,0.4022873376806577,0.8516666666666667,2.8581149578094482,9.474276304244995,0.01,1000,False,8
53,11,4,0.35221393704414367,0.8689333333333333,2.7724289894104004,12.346172094345093,0.01,1000,False,8
